skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
IT, Process management, German;;0;none;0.7;0.7;;0;agile, frontend development, html, https, scrum;flexibility;;Bachelor's;-;1;agile, frontend development, html, https, scrum;flexibility;;;1345;Verfahrensentwicklung/Anforderungsmanagement ( m/w/d ) für Aufgaben im Bereich der öffentlichen Sicherheit;Heikendorf;934386.0;Bundesverwaltungsamt;5;EUR;MONTHLY;4153.3335;4531.0;4908.5835;3.5;2025-10-08T00:00:00;Full-time, Part-time;;Heikendorf;Nordrhein-Westfalen;Germany;50.933594;6.961899;Chri­stoph Ver­en­kot­te;Köln, Deutschland;Bundesbehörden;Regierung & öffentliche Verwaltung;Unbekannt/Nicht zutreffend;5.001 bis 10.000 Mitarbeiter;Öffentlicher Dienst;1960.0;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Web development, Java, Product development, TypeScript, Python;;0;ai_integration;0.55;0.55;AI;0;agile, cloud native, java, kotlin, python, rails, react native, software engineering, swift, typescript, ux, web development;collaboration, continuous learning, creativity, cross-functional collaboration, curiosity, innovation, passion, problem solving;;-;-;0;agile, cloud native, java, kotlin, python, rails, react native, software engineering, swift, typescript, ux, web development;collaboration, continuous learning, creativity, cross-functional collaboration, curiosity, innovation, passion, problem solving;;;1346;Intern - Software Engineer (x/f/m);Berlin;1018530.0;Doctolib;7;EUR;;;;;3.7;2025-10-06T00:00:00;Full-time;WORK_FROM_HOME;Berlin;Berlin;Germany;52.51767;13.405538;Stanislas Niox-Chateau;Levallois-Perret, Frankreich;Dienstleistungen im Gesundheitswesen & Krankenhäuser;Gesundheitswesen;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;2013.0;Unknown;Software Engineer;Q;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;;
Azure, Agriculture, Cybersecurity, AI, TypeScript, Python;ai;1;applied_ai;0.86;0.86;GenAI, AI, machine learning, Python, TypeScript, Azure;1;azure, cybersecurity, data science, foundation, generative ai, machine learning, measures, optimization, python, software engineering, typescript;attention to detail, communication, innovation, organization, proactive;master;Bachelor's;0;1;azure, cybersecurity, data science, foundation, generative ai, machine learning, measures, optimization, python, software engineering, typescript;attention to detail, communication, innovation, organization, proactive;;;1347;Working Student (f/m/d) - AI/Software Engineer - (GenAI Platforms);Nürnberg;3510.0;Siemens;5;EUR;;;;;4.1;2025-10-08T00:00:00;Part-time, Temporary;;Nürnberg;Bayern;Germany;49.45094;11.075269;Roland Busch;München, Deutschland;Elektronikherstellung;Produktion;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1847.0;Unknown;DevOps & Cloud;C;1;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;;
OOP, AWS, Software development, S3, Python, Identity & access management;;0;none;0.65;0.65;;0;aws, data science, ecs, iam, lambda, networking, object-oriented design, oop, optimization, python, rds, routing, s3, software engineering, sqs, storage, windows;analytical skills, autonomous, coaching, collaboration, curiosity, enthusiasm, flexibility, innovation, leadership, mentoring, organization, teamwork;;-;6;1;aws, data science, ecs, iam, lambda, networking, object-oriented design, oop, optimization, python, rds, routing, s3, software engineering, sqs, storage, windows;analytical skills, autonomous, coaching, collaboration, curiosity, enthusiasm, flexibility, innovation, leadership, mentoring, organization, teamwork;;;1348;Staff Software Engineer (d/m/f);München;9901303.0;Flexa;25;EUR;ANNUAL;115000.0;125000.0;135000.0;-0.100000001;2025-09-17T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;Jeremias Heinrich;München, Deutschland;Softwareentwicklung;Informationstechnologie;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;2024.0;Unknown;Sr+ Software Engineer;J;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;;
Relational databases, NoSQL, Java, AWS, Software development, TypeScript, Design patterns;;0;none;0.78;0.78;;0;agile, aws, cloud services, design patterns, event sourcing, java, kotlin, nosql, software engineering, solid, typescript;collaboration, cross-functional collaboration, flexibility, initiative, innovation;;-;-;1;agile, aws, cloud services, design patterns, event sourcing, java, kotlin, nosql, software engineering, solid, typescript;collaboration, cross-functional collaboration, flexibility, initiative, innovation;;;1349;Software Engineer (m/f/d) - Onsite/Hybrid/Remote (Germany);Leipzig;375780.0;PRISMA;324;EUR;;;;;3.8;2025-09-22T00:00:00;;;Leipzig;Sachsen;Germany;51.338287;12.377931;;Helsinki, Finnland;Allgemeine Handelswaren & Großmärkte;Einzel- & Großhandel;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Franchise;;Unknown;Software Engineer;G;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;
TensorFlow, CI/CD, C++, Math, C, Machine learning, Scripting, Software development, SSH, Linux, AI, Python;ai, machine learning, tensorflow;1;applied_ai;0.92;0.92;TensorFlow, Keras, scikit-learn, PyTorch, AI, machine learning, Python;1;c++, ci/cd, continuous integration, data analysis, data pipelines, data quality, data science, full stack, keras, linux, machine learning, python, pytorch, scikit-learn, software engineering, tensorflow;flexibility;bachelor;Bachelor's;2;1;c++, ci/cd, continuous integration, data analysis, data pipelines, data quality, data science, full stack, keras, linux, machine learning, python, pytorch, scikit-learn, software engineering, tensorflow;flexibility;;;1350;Intern (f/m/d) AI Software Engineer;Augsburg;629797.0;Rocket Factory Augsburg AG;38;EUR;;;;;3.6;2025-10-04T00:00:00;;;Augsburg;Bayern;Germany;48.369698;10.892578;Marco R. Fuchs;Bremen, Deutschland;Luftfahrt & Verteidigung;Luft- & Raumfahrt, Verteidigung;100 bis 500 Millionen $ (USD);501 bis 1.000 Mitarbeiter;Aktiengesellschaft;;Unknown;Data & AI;C;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;;
CI/CD, C++, Software testing, Agile, Python;;0;none;0.8;0.8;;0;agile, c++, ci/cd, computer vision, python, software engineering, solid;collaboration, communication, cross-functional collaboration;;-;-;1;agile, c++, ci/cd, computer vision, python, software engineering, solid;collaboration, communication, cross-functional collaboration;;;1351;Software System Engineer;Planegg;4990525.0;The Exploration Company;88;EUR;;;;;4.0;2025-09-17T00:00:00;Full-time;;Planegg;Bayern;Germany;48.105816;11.424579;;Santa Monica, Vereinigte Staaten von Amerika;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;;
English, Visual design;;0;none;0.8;0.8;;0;agile, excel, experimentation, ui, ui/ux;collaboration, continuous learning, cross-functional collaboration, flexibility, growth mindset, independent, ownership, passion;;-;5;1;agile, excel, experimentation, ui, ui/ux;collaboration, continuous learning, cross-functional collaboration, flexibility, growth mindset, independent, ownership, passion;;;1352;Senior Product Designer (all genders);Ansbach;1420269.0;Tradebyte Software GmbH;38;EUR;;;;;3.7;2025-10-05T00:00:00;Full-time;;Ansbach;Bayern;Germany;49.302593;10.57193;Matthias Schulte;Ansbach, Deutschland;IT-Kundenbetreuung;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;2009.0;Unknown;Other;J;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Azure, Visual Studio, C#, AWS, Angular, German;;0;none;0.8;0.8;;0;angular, aws, azure, azure devops, c#, frontend development, full stack, pair programming, rider, scrum, typescript, ui/ux, visual studio, visual studio code;creativity, innovation;;Associate;-;1;angular, aws, azure, azure devops, c#, frontend development, full stack, pair programming, rider, scrum, typescript, ui/ux, visual studio, visual studio code;creativity, innovation;;;1353;Software-Entwickler C#/Angular (m/w/d);München;1310368.0;Grollmus München GmbH;2;EUR;;;;;4.0;2025-10-10T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;;Hochheim, Deutschland;;;1 bis 5 Millionen $ (USD);1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;Software Developer;Unknown;1;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;;
Rust, CSS, Electrical engineering, Embedded software, Software development;;0;none;0.8;0.8;;0;agile, css, debugging, notion, rust, safe, software engineering, solid;communication, innovation;;-;3;1;agile, css, debugging, notion, rust, safe, software engineering, solid;communication, innovation;;;1354;Senior Engineer Embedded Software & Firmware (f/m/div);Augsburg;8915.0;Infineon Technologies;17;EUR;;;;;4.1;2025-09-25T00:00:00;;;Augsburg;Bayern;Germany;48.369698;10.892578;Jochen Hanebeck;Neubiberg, Deutschland;Elektronikherstellung;Produktion;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1999.0;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;;
CI/CD, Azure, Node.js, English, Databases, PostgreSQL, REST, GitHub, APIs, AI, TypeScript, German, MySQL;ai;1;ai_integration;0.7;0.7;LLMs;0;api, azure, ci/cd, data science, devops, github, github actions, mysql, nest.js, node.js, postgresql, rest, typescript;;;-;-;1;api, azure, ci/cd, data science, devops, github, github actions, mysql, nest.js, node.js, postgresql, rest, typescript;;;;1355;Software Engineer (w/m/d) TypeScript;Mörfelden-Walldorf;1314278.0;hsag Heidelberger Services AG;90;EUR;;;;;4.3;2025-09-14T00:00:00;Full-time;;Mörfelden-Walldorf;Hessen;Germany;49.987354;8.565197;Klaus Burkart, Stefan E. Renkert ;Heidelberg, Deutschland;Unternehmensberatung;Management & Beratung;5 bis 25 Millionen $ (USD);51 bis 200 Mitarbeiter;Aktiengesellschaft;2005.0;Unknown;Software Engineer;M;1;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Java, C++, C, Perl, Ruby;;0;none;0.8;0.8;;0;c++, java, linux, perl, ruby, unix, windows;flexibility;;-;-;1;c++, java, linux, perl, ruby, unix, windows;flexibility;;;1356;Software Engineer;Berlin;3033695.0;Lysatiq GmbH;324;EUR;;;;;-0.100000001;2025-09-22T00:00:00;;;Berlin;Berlin;Germany;52.51767;13.405538;;Berlin, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Software Engineer;Unknown;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;;
React, .NET, Docker, Django, APIs, AI, TypeScript, Python, German, Design patterns;ai;1;none;0.75;0.75;AI;0;api, clean code, data engineering, design patterns, devops, django, docker, dotnet, fastapi, flask, frontend development, full stack, https, microservices, python, react, typescript;mentoring, ownership;;-;-;0;api, clean code, data engineering, design patterns, devops, django, docker, dotnet, fastapi, flask, frontend development, full stack, https, microservices, python, react, typescript;mentoring, ownership;;;1357;Fullstack Engineer Typescript + Python (w/m/d);Home office;7867105.0;GovRadar GmbH;86;EUR;ANNUAL;50000.0;55000.0;60000.0;5.0;2025-09-18T00:00:00;Full-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;München, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Software Developer;Unknown;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Go, Haskell, Data structures, Java, C++, C, Machine learning, JavaScript, Clojure, Distributed systems, Angular, Front-end development, TypeScript, Python;machine learning;1;none;0.65;0.65;machine learning;0;angular, c++, clojure, dart, data science, flutter, frontend development, haskell, java, javascript, kotlin, machine learning, python, react, software engineering, typescript, vue;organization, responsibility;bachelor;Bachelor's;-;0;angular, c++, clojure, dart, data science, flutter, frontend development, haskell, java, javascript, kotlin, machine learning, python, react, software engineering, typescript, vue;organization, responsibility;;;1358;Hackers wanted – Software Engineers;Hamburg;321557.0;freiheit.com technologies gmbh;324;EUR;;;;;3.8;2025-09-22T00:00:00;Full-time;;Hamburg;Hamburg;Germany;53.55068;9.99697;Stefan Richter and Christopher Schorling;Hamburg, Deutschland;IT-Kundenbetreuung;Informationstechnologie;Unbekannt/Nicht zutreffend;201 bis 500 Mitarbeiter;Privatunternehmen;1999.0;Unknown;Software Engineer;J;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;;
CI/CD, CSS, React, Java, JavaScript, GitHub, UI, Unit testing, Jenkins, TypeScript, Spring, HTML5, Design patterns;;0;none;0.8;0.8;;0;agile, ci/cd, clean code, code quality, css, data integration, design patterns, frontend development, full stack, github, github actions, html, java, javascript, jenkins, qa, react, responsive design, scrum, sonarqube, spring, spring boot, typescript, ui, unit testing;collaboration, communication, cross-functional collaboration, decision making, flexibility, growth mindset, innovation, mentoring, organization, passion;;-;-;1;agile, ci/cd, clean code, code quality, css, data integration, design patterns, frontend development, full stack, github, github actions, html, java, javascript, jenkins, qa, react, responsive design, scrum, sonarqube, spring, spring boot, typescript, ui, unit testing;collaboration, communication, cross-functional collaboration, decision making, flexibility, growth mindset, innovation, mentoring, organization, passion;;;1359;Full-Stack Engineer (m/f/d);Freiburg;855122.0;Jedox GmbH;41;EUR;;;;;3.7;2025-10-01T00:00:00;Full-time;;Freiburg;Baden-Württemberg;Germany;47.994785;7.849877;Florian Winterstein;Freiburg, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;5 bis 25 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;2002.0;Unknown;Software Developer;J;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
CI/CD, Azure, Git, English, Google Cloud Platform, Java, AWS, Docker, Software development, Spring, German;;0;none;0.8;0.8;;0;aws, azure, ci/cd, docker, gcp, git, java, software engineering, spring, spring boot;flexibility;;-;1;1;aws, azure, ci/cd, docker, gcp, git, java, software engineering, spring, spring boot;flexibility;;;1360;Software Engineer (all genders);Aachen;1155520.0;INFORM GmbH;5;EUR;;;;;4.1;2025-10-08T00:00:00;;;Aachen;Nordrhein-Westfalen;Germany;50.773518;6.0848;Dr. Andreas Meyer, Dr. Jörg Herbers, Peter Frerichs;Aachen, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Selbstständig;1969.0;Unknown;Software Engineer;J;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, ASP.NET, React, C#, English, .NET, JavaScript, APIs, TypeScript, German, Design patterns;;0;none;0.8;0.8;;0;api, asp.net, c#, ci/cd, design patterns, dotnet, frontend development, full stack, javascript, react, software engineering, typescript;innovation;;-;-;1;api, asp.net, c#, ci/cd, design patterns, dotnet, frontend development, full stack, javascript, react, software engineering, typescript;innovation;;;1361;Software Engineer Fullstack (m/w/d);Kreuzwertheim;931493.0;Kurtz Holding GmbH & Co. Beteiligungs KG;53;EUR;;;;;5.0;2025-09-21T00:00:00;Full-time;;Kreuzwertheim;Bayern;Germany;49.76645;9.515263;Rainer Kurtz;Kreuzwertheim, Deutschland;Konsumgüterproduktion;Produktion;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Unbekannt;1998.0;Unknown;Software Developer;C;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
English, Java, SQL, PL/SQL;;0;none;0.8;0.8;;0;dax, java, pl/sql, sql;;;-;-;1;dax, java, pl/sql, sql;;;;1362;StarCraft DataBase Engineer (m/w/d);Bremen;10166.0;Hays Professional Solutions GmbH;12;EUR;;;;;3.5;2025-10-01T00:00:00;;;Bremen;Bremen;Germany;53.075607;8.809338;Dirk Hahn;London, Vereinigtes Königreich;Personalberatung;Personalwesen;1 bis 5 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;1968.0;Unknown;Software Engineer;N;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Azure, Kubernetes, NoSQL, English, Google Cloud Platform, Java, Databases, Microservices, AWS, Analysis skills, Docker, Software development, IT, TypeScript, Python, German;;0;none;0.8;0.8;;0;aws, azure, ci/cd, ddd, devops, docker, event-driven, gcp, java, kanban, kubernetes, microservices, nosql, python, scrum, software engineering, typescript;;master;Master's;5;1;aws, azure, ci/cd, ddd, devops, docker, event-driven, gcp, java, kanban, kubernetes, microservices, nosql, python, scrum, software engineering, typescript;;;;1363;Software Architect (m/w/d);Overath;934774.0;RheinEnergie AG;55;EUR;ANNUAL;76000.0;90500.0;105000.0;4.2;2025-09-18T00:00:00;Full-time;;Heikendorf;Nordrhein-Westfalen;Germany;50.933594;6.961899;Andreas Feicht;Köln, Deutschland;Energie- & Versorgungswirtschaft;Energie, Bergbau, Versorgungswirtschaft;1 bis 5 Milliarden $ (USD);1.001 bis 5.000 Mitarbeiter;Aktiengesellschaft;1872.0;Unknown;Management;D;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;
Kubernetes, English, Java, Microservices, AWS, REST, Angular, Ruby, APIs, Agile, Kafka, Spring;;0;none;0.8;0.8;machine learning, data science;0;agile, angular, api, aws, clean code, code quality, java, kafka, kubernetes, microservices, rest, ruby, solid, spring;ownership, responsibility;;Bachelor's;2;1;agile, angular, api, aws, clean code, code quality, java, kafka, kubernetes, microservices, rest, ruby, solid, spring;ownership, responsibility;;;1364;Technical Member of Staff 2, Junior Software Engineer;Berlin;35498.0;Paysafe;18;EUR;;;;;3.6;2025-09-24T00:00:00;;;Berlin;Berlin;Germany;52.51767;13.405538;Bruce Lowthers ;London, Vereinigtes Königreich;Finanzdienstleistungen;Finanzen;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Aktiengesellschaft;1996.0;Unknown;Sr+ Software Engineer;K;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
CI/CD, Software troubleshooting, Kubernetes, DevOps, Maintenance, Java, Databases, C++, Docker, JavaScript, Scripting, Software development, Linux, Eclipse, Groovy, GitLab, Python;;0;none;0.8;0.8;;0;bash, c++, ci/cd, continuous deployment, continuous integration, devops, docker, eclipse, gitlab, gitlab ci, groovy, java, javascript, kubernetes, linux, python, reporting, rest, segment, software engineering, solid;communication, cross-functional collaboration, proactive, teamwork, troubleshooting;master;Master's;-;1;bash, c++, ci/cd, continuous deployment, continuous integration, devops, docker, eclipse, gitlab, gitlab ci, groovy, java, javascript, kubernetes, linux, python, reporting, rest, segment, software engineering, solid;communication, cross-functional collaboration, proactive, teamwork, troubleshooting;;;1365;Spacecraft Simulator Software Engineer (m/f/d);Darmstadt;716475.0;Telespazio Germany GmbH;24;EUR;;;;;3.8;2025-09-18T00:00:00;;;Darmstadt;Hessen;Germany;49.87321;8.6566;Sigmar Keller;Darmstadt, Deutschland;Luftfahrt & Verteidigung;Luft- & Raumfahrt, Verteidigung;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;;Unknown;Software Engineer;C;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;;
Go, Relational databases, Communication skills;;0;none;0.8;0.8;;0;agile, clean code, cloud native, event sourcing, foundation, golang;communication, cross-functional collaboration, flexibility, innovation, ownership, resilience, responsibility;;-;5;1;agile, clean code, cloud native, event sourcing, foundation, golang;communication, cross-functional collaboration, flexibility, innovation, ownership, resilience, responsibility;;;1366;(Senior) Backend Engineer;Berlin;9683029.0;Payrails GmbH;156;EUR;;;;;2.1;2025-10-09T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;Orkhan Abdullayev;Berlin, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2021.0;Unknown;Software Engineer;J;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;
C++, Software development, Communication skills, German;;0;none;0.8;0.8;;0;c++, software engineering, sonarqube;communication;;-;3;1;c++, software engineering, sonarqube;communication;;;1367;Software Engineer (m/w/d);Bremen;932697.0;expertum GmbH;0;EUR;;;;;4.2;2025-10-13T00:00:00;Full-time, Contract;;Bremen;Bremen;Germany;53.075607;8.809338;Jörg Stehr;Hamburg, Deutschland;Personalberatung;Personalwesen;25 bis 100 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Privatunternehmen;1987.0;Unknown;Software Engineer;N;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
French, English, Project management, Machine learning, CATIA, German;machine learning;1;none;0.75;0.75;machine learning;0;agile, machine learning;project management;;-;-;0;agile, machine learning;project management;;;1368;Digitalisation Engineer and Product Owner (m/w/d) für AIRBUS;Hamburg;947469.0;Orizon GmbH, Unit Aviation;12;EUR;ANNUAL;65000.0;67000.0;69000.0;3.8;2025-10-01T00:00:00;Full-time;;Hamburg;Hamburg;Germany;53.55068;9.99697;Daniela Kühne;Augsburg, Deutschland;Personalberatung;Personalwesen;100 bis 500 Millionen $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;1978.0;Unknown;Management;N;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
TensorFlow, Data structures, Java, Machine learning, Scala, AI, Python;ai, machine learning, tensorflow;1;applied_ai;0.95;0.95;machine learning, TensorFlow, PyTorch, scikit-learn;1;fine-tuning, java, machine learning, python, pytorch, scala, scikit-learn, software engineering, solid, tensorflow;collaboration, creativity, cross-functional collaboration, innovation, problem solving;;-;3;1;fine-tuning, java, machine learning, python, pytorch, scala, scikit-learn, software engineering, solid, tensorflow;collaboration, creativity, cross-functional collaboration, innovation, problem solving;;;1369;Software Engineer / AI (f/m/x);Stuttgart;6459599.0;SPARETECH;34;EUR;;;;;4.5;2025-10-08T00:00:00;;;Stuttgart;Baden-Württemberg;Germany;48.775818;9.177734;;Stuttgart, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Data & AI;Unknown;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;;
MATLAB, English, C++, C, Embedded software, Software development, Application support, German;;0;none;0.8;0.8;;0;c++, debugging, matlab, software engineering;;;-;1;1;c++, debugging, matlab, software engineering;;;;1370;Software Engineer (m/w/d) Automotive;Saarbrücken;601093.0;FERCHAU GmbH;323;EUR;;;;;3.4;2025-09-23T00:00:00;Full-time;;Saarbrücken;Saarland;Germany;49.2363;6.996011;Alexander Schulz;Gummersbach, Deutschland;Personalberatung;Personalwesen;500 Millionen bis 1 Milliarde $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;1966.0;Unknown;Software Engineer;N;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
Jira, Confluence, Computer hardware;;0;none;0.8;0.8;;0;confluence, jira;;;-;-;1;confluence, jira;;;;1371;IT Engineer Modern Workplace (gn);Bornheim;513295.0;Hornbach Baumarkt AG;40;EUR;;;;;3.7;2025-10-02T00:00:00;;;Bornheim;Nordrhein-Westfalen;Germany;50.763798;6.984936;Albrecht Hornbach;Bornheim, Deutschland;Sonstiger Einzelhandel;Einzel- & Großhandel;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1877.0;Unknown;Software Engineer;G;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Azure, Web development, NoSQL, MongoDB, Databases, AWS, PostgreSQL, MySQL;;0;none;0.8;0.8;;0;aws, azure, dashboards, full stack, gcp, mongodb, mysql, nosql, postgresql, software engineering, web development;;;-;-;1;aws, azure, dashboards, full stack, gcp, mongodb, mysql, nosql, postgresql, software engineering, web development;;;;1372;Fullstack Data Security Engineer (m/w/d);Zwickau;1988358.0;EffiCon GmbH & Co. KG;186;EUR;ANNUAL;60000.0;62500.0;65000.0;4.8;2025-10-09T00:00:00;Full-time;;Zwickau;Sachsen;Germany;50.719112;12.492251;Stefan Hinz;Meerane, Deutschland;Personalberatung;Personalwesen;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2014.0;Unknown;Security;N;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Azure, React, DevOps, C#, Google Cloud Platform, Java, Microservices, AWS, JavaScript, REST, Angular, GraphQL, Jenkins, TypeScript, GitLab, Python;;0;none;0.8;0.8;;0;angular, api, aws, azure, c#, ci/cd, devops, frontend development, full stack, gcp, gitlab, gitlab ci, graphql, java, javascript, jenkins, microservices, python, react, rest, typescript, vue;innovation;;-;5;1;angular, api, aws, azure, c#, ci/cd, devops, frontend development, full stack, gcp, gitlab, gitlab ci, graphql, java, javascript, jenkins, microservices, python, react, rest, typescript, vue;innovation;;;1373;Senior Softwareentwickler- Medizintechnik und Cloud-Lösungen (w/m/d);Würzburg;282141.0;Brunel;5;EUR;;;;;4.3;2025-10-07T00:00:00;Full-time;;Würzburg;Bayern;Germany;49.79363;9.930947;Peter de Laat;Amsterdam, Niederlande;Personalwesen & Personalvermittlungen;Personalwesen;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1975.0;Unknown;DevOps & Cloud;N;1;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
Azure, Visio, English, Communication skills, German, VPN;;0;none;0.8;0.8;;0;azure, firewall, networking, switching, vpn;communication, flexibility, mentoring;;Associate;3;1;azure, firewall, networking, switching, vpn;communication, flexibility, mentoring;;;1374;Netzwerktechniker / Network Engineer (w/m/d);Augsburg;6349494.0;digatus it group AG;145;EUR;;;;;4.4;2025-09-21T00:00:00;Full-time;;Augsburg;Bayern;Germany;48.369698;10.892578;;München, Deutschland;IT-Kundenbetreuung;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2015.0;Unknown;Systems & Embedded;J;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
